 sigx=0.5 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.913962 
 sigx=0.5 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.087320 
 sigx=0.5 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.226103 
 sigx=0.5 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.332890 
 sigx=0.5 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.413923 
 sigx=0.5 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.468709 
 sigx=0.5 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.501635 
 sigx=0.5 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.514422 
 sigx=0.5 ,sigy=1.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.511957 
 sigx=0.5 ,sigy=1.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.496763 
 sigx=0.5 ,sigy=1.6, theta=0 h_m=0.65, v_m=1.0, h_psnr=23.488229 
 sigx=0.5 ,sigy=1.7, theta=0 h_m=0.7, v_m=1.0, h_psnr=23.477998 
 sigx=0.5 ,sigy=1.8, theta=0 h_m=0.7, v_m=1.0, h_psnr=23.461082 
 sigx=0.5 ,sigy=1.9, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.440034 
 sigx=0.5 ,sigy=2.0, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.411935 
 sigx=0.6 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.322194 
 sigx=0.6 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.338545 
 sigx=0.6 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.492576 
 sigx=0.6 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.757362 
 sigx=0.6 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.985362 
 sigx=0.6 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.159086 
 sigx=0.6 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.294856 
 sigx=0.6 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.402702 
 sigx=0.6 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.482495 
 sigx=0.6 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.536167 
 sigx=0.6 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.567548 
 sigx=0.6 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.579664 
 sigx=0.6 ,sigy=1.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.575412 
 sigx=0.6 ,sigy=1.5, theta=0 h_m=0.65, v_m=1.0, h_psnr=23.576498 
 sigx=0.6 ,sigy=1.6, theta=0 h_m=0.7, v_m=1.0, h_psnr=23.575663 
 sigx=0.6 ,sigy=1.7, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.565161 
 sigx=0.6 ,sigy=1.8, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.551348 
 sigx=0.6 ,sigy=1.9, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.528643 
 sigx=0.6 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.500196 
 sigx=0.7 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.378480 
 sigx=0.7 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.394141 
 sigx=0.7 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.546332 
 sigx=0.7 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.810469 
 sigx=0.7 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.038200 
 sigx=0.7 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.210875 
 sigx=0.7 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.347522 
 sigx=0.7 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.454505 
 sigx=0.7 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.532907 
 sigx=0.7 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.585683 
 sigx=0.7 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.615105 
 sigx=0.7 ,sigy=1.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.628213 
 sigx=0.7 ,sigy=1.4, theta=0 h_m=0.7, v_m=0.9, h_psnr=23.637801 
 sigx=0.7 ,sigy=1.5, theta=0 h_m=0.7, v_m=1.0, h_psnr=23.645221 
 sigx=0.7 ,sigy=1.6, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.644639 
 sigx=0.7 ,sigy=1.7, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.639005 
 sigx=0.7 ,sigy=1.8, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.621802 
 sigx=0.7 ,sigy=1.9, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.603800 
 sigx=0.7 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.577516 
 sigx=0.8 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.420384 
 sigx=0.8 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.437670 
 sigx=0.8 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.591052 
 sigx=0.8 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.853382 
 sigx=0.8 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.078757 
 sigx=0.8 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.251139 
 sigx=0.8 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.385925 
 sigx=0.8 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.491586 
 sigx=0.8 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.569834 
 sigx=0.8 ,sigy=1.1, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.622615 
 sigx=0.8 ,sigy=1.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.652336 
 sigx=0.8 ,sigy=1.3, theta=0 h_m=0.7, v_m=0.8, h_psnr=23.676136 
 sigx=0.8 ,sigy=1.4, theta=0 h_m=0.7, v_m=0.95, h_psnr=23.693270 
 sigx=0.8 ,sigy=1.5, theta=0 h_m=0.75, v_m=0.95, h_psnr=23.702492 
 sigx=0.8 ,sigy=1.6, theta=0 h_m=0.75, v_m=1.0, h_psnr=23.705150 
 sigx=0.8 ,sigy=1.7, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.698930 
 sigx=0.8 ,sigy=1.8, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.688574 
 sigx=0.8 ,sigy=1.9, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.668175 
 sigx=0.8 ,sigy=2.0, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.637720 
 sigx=0.9 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.456516 
 sigx=0.9 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.473055 
 sigx=0.9 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.625071 
 sigx=0.9 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.885990 
 sigx=0.9 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.109803 
 sigx=0.9 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.281332 
 sigx=0.9 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.415788 
 sigx=0.9 ,sigy=0.9, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.519929 
 sigx=0.9 ,sigy=1.0, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.596825 
 sigx=0.9 ,sigy=1.1, theta=0 h_m=0.7, v_m=0.55, h_psnr=23.647864 
 sigx=0.9 ,sigy=1.2, theta=0 h_m=0.7, v_m=0.7, h_psnr=23.693269 
 sigx=0.9 ,sigy=1.3, theta=0 h_m=0.75, v_m=0.8, h_psnr=23.722991 
 sigx=0.9 ,sigy=1.4, theta=0 h_m=0.75, v_m=0.9, h_psnr=23.743097 
 sigx=0.9 ,sigy=1.5, theta=0 h_m=0.75, v_m=0.95, h_psnr=23.753979 
 sigx=0.9 ,sigy=1.6, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.758199 
 sigx=0.9 ,sigy=1.7, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.756091 
 sigx=0.9 ,sigy=1.8, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.742580 
 sigx=0.9 ,sigy=1.9, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.726196 
 sigx=0.9 ,sigy=2.0, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.701239 
 sigx=1.0 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.484551 
 sigx=1.0 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.500214 
 sigx=1.0 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.650737 
 sigx=1.0 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.909629 
 sigx=1.0 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.132035 
 sigx=1.0 ,sigy=0.7, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.302220 
 sigx=1.0 ,sigy=0.8, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.434416 
 sigx=1.0 ,sigy=0.9, theta=0 h_m=0.05, v_m=0.0, h_psnr=23.538071 
 sigx=1.0 ,sigy=1.0, theta=0 h_m=0.7, v_m=0.45, h_psnr=23.620563 
 sigx=1.0 ,sigy=1.1, theta=0 h_m=0.75, v_m=0.6, h_psnr=23.685742 
 sigx=1.0 ,sigy=1.2, theta=0 h_m=0.75, v_m=0.7, h_psnr=23.732841 
 sigx=1.0 ,sigy=1.3, theta=0 h_m=0.8, v_m=0.75, h_psnr=23.764958 
 sigx=1.0 ,sigy=1.4, theta=0 h_m=0.8, v_m=0.85, h_psnr=23.787055 
 sigx=1.0 ,sigy=1.5, theta=0 h_m=0.8, v_m=0.95, h_psnr=23.799348 
 sigx=1.0 ,sigy=1.6, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.806289 
 sigx=1.0 ,sigy=1.7, theta=0 h_m=0.8, v_m=1.0, h_psnr=23.801531 
 sigx=1.0 ,sigy=1.8, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.795472 
 sigx=1.0 ,sigy=1.9, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.779584 
 sigx=1.0 ,sigy=2.0, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.753024 
 sigx=1.1 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.504607 
 sigx=1.1 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.521124 
 sigx=1.1 ,sigy=0.4, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.669225 
 sigx=1.1 ,sigy=0.5, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.924129 
 sigx=1.1 ,sigy=0.6, theta=0 h_m=0.0, v_m=0.0, h_psnr=23.144988 
 sigx=1.1 ,sigy=0.7, theta=0 h_m=0.05, v_m=0.0, h_psnr=23.312525 
 sigx=1.1 ,sigy=0.8, theta=0 h_m=0.2, v_m=0.0, h_psnr=23.445320 
 sigx=1.1 ,sigy=0.9, theta=0 h_m=0.7, v_m=0.3, h_psnr=23.558884 
 sigx=1.1 ,sigy=1.0, theta=0 h_m=0.75, v_m=0.45, h_psnr=23.647654 
 sigx=1.1 ,sigy=1.1, theta=0 h_m=0.8, v_m=0.55, h_psnr=23.715872 
 sigx=1.1 ,sigy=1.2, theta=0 h_m=0.8, v_m=0.7, h_psnr=23.765991 
 sigx=1.1 ,sigy=1.3, theta=0 h_m=0.8, v_m=0.8, h_psnr=23.800125 
 sigx=1.1 ,sigy=1.4, theta=0 h_m=0.8, v_m=0.9, h_psnr=23.821738 
 sigx=1.1 ,sigy=1.5, theta=0 h_m=0.85, v_m=0.9, h_psnr=23.836177 
 sigx=1.1 ,sigy=1.6, theta=0 h_m=0.85, v_m=0.95, h_psnr=23.844247 
 sigx=1.1 ,sigy=1.7, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.846673 
 sigx=1.1 ,sigy=1.8, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.840283 
 sigx=1.1 ,sigy=1.9, theta=0 h_m=0.85, v_m=1.0, h_psnr=23.820945 
 sigx=1.1 ,sigy=2.0, theta=0 h_m=0.9, v_m=1.0, h_psnr=23.799608 
 sigx=1.2 ,sigy=0.2, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.517860 
 sigx=1.2 ,sigy=0.3, theta=0 h_m=0.0, v_m=0.0, h_psnr=22.533708 
